Sentence,Technique
"the nation that gave the world the Magna Carta is dead""",Loaded_Language
a striking blow against freedom,Loaded_Language
a complete travesty of justice,Loaded_Language
firestorm of outrage,Loaded_Language
"aggressively stuck his tongue in my mouth""",Loaded_Language
"and squeezed ""at least twice""",Loaded_Language
Exploding in Trumpâ€™s Face,Loaded_Language
cut-of-his-jib test,Loaded_Language
a slur on all women,Loaded_Language
hazy old-time Hollywood casting,Loaded_Language
bombshells,Loaded_Language
hypocritical,Loaded_Language
has blasted,Loaded_Language
Agencies scramble,Loaded_Language
has hamstrung the administration for more than 18 months,Loaded_Language
unprecedented,Loaded_Language
surreal,Loaded_Language
extraordinary,Loaded_Language
unwavering,Loaded_Language
unthinkable,Loaded_Language
fearsome renegade,Loaded_Language
foundation of lies,Loaded_Language
ominous encroachment,Loaded_Language
overly aggressive,Loaded_Language
filth and degenerate behavior,Loaded_Language
outspokenly and flagrantly anti-Zionist,Loaded_Language
harmful and divisive views,Loaded_Language
make me shudder,Loaded_Language
monthlong backlash,Loaded_Language
cunning ecclesiastical politician,Loaded_Language
And that is exactly the nonsense Fastiggi and Goldstein expect us to swallow,Loaded_Language
But such embarrassing truths need not impede the Bergoglian Mercy Train as it barrels toward a train wreck at the end of the line,Loaded_Language
the grim reality of this unprecedented pontificate,Loaded_Language
the old reliable â€œmistranslation,Loaded_Language
reckless appeasement,Loaded_Language
accused Jews of drinking blood,Loaded_Language
Holocaust Syndromeâ€ of entitlement,Loaded_Language
very dirty and unappealing water under the Catholic bridge,Loaded_Language
"Pope Paulâ€™s gracious and beautiful exposition, and in part on the sheer radical, mad unlikeliness of it",Loaded_Language
"The idea of transubstantiation struck me as I read that document as possibly the strangest and most earth shattering thing Iâ€™d ever heard. It shocked me out of a kind of swamp of intellectual worldliness; presenting the idea to my thirsty mind that there could indeed be fantastic realities far more wonderful than the banal and painfully uninteresting secularist worldview I had been taught to accept. It was as though someone had plausibly told me that, yes, there were fairies and magical kingdoms in real life, â€œjust around the cornerâ€",Loaded_Language
it was outright wicked,Loaded_Language
this sacramental reality that was about to be catastrophically obscured,Loaded_Language
will be ruling embattled islands of Catholicism in a poisoned sea of systematic heresy and desecration,Loaded_Language
pernicious nonsense,Loaded_Language
Dr. Fastiggi has succumbed to an unfortunate literal-mindedness,Loaded_Language
"demonstrate a pronounced lack of comprehension of pertinent ecclesiological and theological basics, and a rather embarrassing lack of rhetorical finesse",Loaded_Language
astonishing eyewitness report,Loaded_Language
knapsack of entitled nonsense,Loaded_Language
"reckless abandonment of facts in favor of ego and ideology""",Loaded_Language
disastrous nuclear deal,Loaded_Language
cramming lies down our throats,Loaded_Language
seizure and hostage crisis,Loaded_Language
overarching hostility and aggression,Loaded_Language
"its aggressive, destabilizing, and unlawful behavior",Loaded_Language
a modicum of sense,Loaded_Language
absolutely ludicrous,Loaded_Language
cherished long-secret records,Loaded_Language
the extreme nonchalance,Loaded_Language
Crisis Of Epic Proportions,Loaded_Language
utter annihilation,Loaded_Language
ridiculous and illogical,Loaded_Language
dreadfully wrong,Loaded_Language
earthshattering new,Loaded_Language
botched investigation,Loaded_Language
bolstered my own â€œGreat Clarifierâ€ theory,Loaded_Language
cheap and vulgar ritual humiliation,Loaded_Language
howling tantrums,Loaded_Language
blithering incoherence,Loaded_Language
"harass, abuse, humiliate, persecute, or prosecute him",Loaded_Language
ingenuity and cunning come into play,Loaded_Language
a secret fraudulent and bogus autopsy,Loaded_Language
pernicious campaign of hate,Loaded_Language
classic deep state false flag operation,Loaded_Language
regions already devastated by the ongoing black death outbreak,Loaded_Language
