Sentence,Technique
Water boils at 100 degrees Celsius.,Nothing
The Earth revolves around the Sun.,Nothing
"The summit of Mount Everest is about 8,848 meters above sea level.",Nothing
The Pacific Ocean is the largest ocean on Earth.,Nothing
Photosynthesis is the process by which green plants make their food.,Nothing
The heart pumps blood throughout the body.,Nothing
The Great Wall of China is one of the Seven Wonders of the World.,Nothing
The Nile is commonly regarded as the longest river in the world.,Nothing
A year on Mars is 687 Earth days.,Nothing
The human skeleton is made up of 206 bones.,Nothing
"Light travels at a speed of about 300,000 kilometers per second.",Nothing
The capital of France is Paris.,Nothing
"The Grand Canyon is located in Arizona, USA.",Nothing
Shakespeare wrote the play 'Romeo and Juliet.',Nothing
The largest mammal on Earth is the blue whale.,Nothing
The Amazon rainforest is the largest tropical rainforest in the world.,Nothing
George Washington was the first President of the United States.,Nothing
A group of crows is called a murder.,Nothing
The currency of Japan is the Yen.,Nothing
The chemical formula for water is H2O.,Nothing
The Mona Lisa was painted by Leonardo da Vinci.,Nothing
The human body is composed of approximately 60% water.,Nothing
The Titanic sank in 1912.,Nothing
World War II ended in 1945.,Nothing
The periodic table organizes elements by increasing atomic number.,Nothing
The square root of 64 is 8.,Nothing
The Sahara is the largest hot desert in the world.,Nothing
Mahatma Gandhi was a leader in India's movement for independence.,Nothing
An octopus has three hearts.,Nothing
The largest planet in the solar system is Jupiter.,Nothing
"The Great Barrier Reef is off the coast of Queensland, Australia.",Nothing
Honey never spoils and can be eaten years after it's produced.,Nothing
The piano has 88 keys.,Nothing
The Olympic Games occur every four years.,Nothing
The United Nations was founded in 1945.,Nothing
The freezing point of water is 0 degrees Celsius.,Nothing
The first man to walk on the Moon was Neil Armstrong.,Nothing
A violin typically has four strings.,Nothing
A haiku is a traditional form of Japanese poetry.,Nothing
The human brain has about 86 billion neurons.,Nothing
The lifespan of a mayfly can be as short as 24 hours.,Nothing
An adult human has 32 teeth.,Nothing
"The distance between the Earth and the Moon averages 384,400 kilometers.",Nothing
The longest river in the United States is the Missouri River.,Nothing
Bananas are high in potassium.,Nothing
The smallest bone in the human body is the stapes bone in the ear.,Nothing
Albert Einstein developed the theory of relativity.,Nothing
The currency used in the United Kingdom is the pound sterling.,Nothing
The largest island in the world is Greenland.,Nothing
Polar bears primarily live within the Arctic Circle.,Nothing
The shortest war in history lasted only 38 minutes. It was between Britain and Zanzibar in 1896.,Nothing
"Honey never spoils. Archaeologists have found pots of honey in ancient Egyptian tombs that are over 3,000 years old and still perfectly edible.",Nothing
A group of flamingos is called a flamboyance.,Nothing
"The shortest complete sentence in the English language is ""I am.""",Nothing
"The world's largest desert is not the Sahara, but Antarctica.",Nothing
The Earth's oceans contain nearly 20 million tons of gold.,Nothing
Octopuses have three hearts.,Nothing
The unicorn is the national animal of Scotland.,Nothing
The first product to have a barcode was Wrigley's gum.,Nothing
Maine is the only state in the United States with a one-syllable name.,Nothing
The shortest international commercial flight lasts only 8 minutes. It's between Switzerland and Germany.,Nothing
Dolphins have names for each other.,Nothing
The tallest tree ever was an Australian eucalyptus - it was measured at over 435 feet tall.,Nothing
The Eiffel Tower can be 15 cm taller during the summer due to thermal expansion.,Nothing
Bees can recognize human faces.,Nothing
The first computer virus was created in 1983 and was called the Elk Cloner.,Nothing
Snails can sleep for up to three years.,Nothing
"The original name for the search engine Google was ""Backrub.""",Nothing
Canada has the longest coastline of any country in the world.,Nothing
The longest wedding veil was longer than 63 football fields.,Nothing
There are more possible iterations of a game of chess than there are atoms in the known universe.,Nothing
The shortest distance between two points on Earth is through a straight line that passes through the Earth's core.,Nothing
Cleopatra VII of Egypt lived closer in time to the first Moon landing than to the construction of the Great Pyramid.,Nothing
An octopus has nine brains.,Nothing
"The ""ZIP"" in ZIP code stands for Zone Improvement Plan.",Nothing
The microwave was invented after a researcher walked by a radar tube and a chocolate bar melted in his pocket.,Nothing
A group of porcupines is called a prickle.,Nothing
The first email was sent in 1971 by Ray Tomlinson to himself. He doesn't remember what it said.,Nothing
The Great Wall of China is not visible from space with the naked eye.,Nothing
Baby puffins are called pufflings.,Nothing
"The longest place name in the world is Taumatawhakatangihangakoauauotamateaturipukakapiki-maungahoronukupokaiwhen-uakitanatahu, a hill in New Zealand.",Nothing
"The shortest war in history was between Britain and Zanzibar on August 27, 1896. Zanzibar surrendered after 38 minutes.",Nothing
The shortest reign of a British monarch was by Lady Jane Grey. She ruled for only nine days in 1553.,Nothing
The first product to have a barcode scanned was a pack of Wrigley's chewing gum in 1974.,Nothing
"The world's largest pizza was made in 2012 in Italy. It was 1261.65 square meters (13,580.28 square feet).",Nothing
Elephants are the only mammals that can't jump.,Nothing
The shortest war in history was between Britain and Zanzibar in 1896. It lasted only 38 minutes.,Nothing
Cats have five toes on their front paws and four toes on their back paws.,Nothing
The shortest commercial flight in the world is between the Scottish islands of Westray and Papa Westray. It lasts only 47 seconds.,Nothing
The Great Wall of China is not visible from space without aid.,Nothing
"The shortest place name is ""Å"" in both Sweden and Norway.",Nothing
The shortest international commercial flight is between Switzerland and Germany. It lasts only 8 minutes.,Nothing
The Eiffel Tower can be 15 cm taller during the summer due to the expansion of the iron on hot days.,Nothing
Venus is the only planet in our solar system that rotates clockwise.,Nothing
Hippopotamus milk is pink.,Nothing
"Bananas are berries, but strawberries aren’t.",Nothing
Koalas have fingerprints that are almost identical to human fingerprints.,Nothing
Honey never spoils. Archaeologists have found pots of honey in ancient Egyptian tombs that are over 3000 years old and still perfectly edible.,Nothing
Cows have best friends and they tend to spend most of their time together.,Nothing
Polar bears have black skin to better absorb the sun’s rays.,Nothing
The heart of a shrimp is located in its head.,Nothing
A snail can sleep for three years.,Nothing
Slugs have four noses.,Nothing
Camels have three eyelids to protect themselves from blowing sand.,Nothing
A crocodile cannot stick its tongue out.,Nothing
Butterflies taste with their feet.,Nothing
Starfish don’t have brains.,Nothing
Penguins have an organ above their eyes that converts seawater to fresh water.,Nothing
A hummingbird weighs less than a penny.,Nothing
An ostrich’s eye is bigger than its brain.,Nothing
Birds don’t urinate. They convert nitrogen to uric acid.,Nothing
The total weight of ants on earth once equaled the total weight of people.,Nothing
Elephants are the only animals that can’t jump.,Nothing
A rhinoceros’ horn is made of hair.,Nothing
The fingerprints of koala bears are virtually indistinguishable from those of humans.,Nothing
"A duck’s quack doesn’t echo, and no one knows why.",Nothing
"The population of the Earth is about 8 billion, but there are more than 10 quintillion (10,000,000,000,000,000,000) individual ants alive at any given time!",Nothing
The world's quietest room is located at Microsoft's headquarters and is so silent you can hear your own heartbeat.,Nothing
"Honeybees can smell fear! They release an alarm pheromone when they sense danger, making other bees more likely to sting.",Nothing
"Clementine oranges are a hybrid of a mandarin orange and a sweet orange, accidentally created by a man named Reverend Clement Rodier.",Nothing
The muscles you use to blink are the fastest in your body.,Nothing
"There's a species of jellyfish that can cheat death by reverting back to its polyp stage when injured. Essentially, it ages backward to become young again.",Nothing
"The world's oldest chewing gum is 9,000 years old and made from birch bark tar.",Nothing
"Cats have 32 muscles in each ear, allowing them to rotate them 180 degrees.",Nothing
The population of the Earth weighs about the same as all the chickens on Earth combined.,Nothing
Some species of frogs can freeze solid and come back to life when it warms up.,Nothing
"The name ""checkmate"" in chess comes from the Persian phrase ""Shah Mat,"" which means ""the King is dead.""",Nothing
"The world's first computer programmer was a woman named Ada Lovelace, who lived in the 1800s.",Nothing
"The dot over the letter ""i"" is called a tittle.",Nothing
"Ostriches can run faster than humans, reaching speeds of up to 70 mph.",Nothing
The population of the planet Earth is greater than the number of stars in our Milky Way galaxy.,Nothing
There are more stars in the universe than grains of sand on all the beaches on Earth.,Nothing
A group of owls is called a parliament.,Nothing
A group of butterflies is called a flutter.,Nothing
A group of hedgehogs is called a prickle.,Nothing
The world's hottest chili pepper is so hot it can cause hallucinations.,Nothing
The population of the Earth breaths in about the weight of the Empire State Building in oxygen every day.,Nothing
Some parts of the Sahara Desert haven't seen rain in over 2.4 million years.,Nothing
"The world's largest living organism is a fungus that covers over 2,385 acres in Oregon.",Nothing
There's a type of worm that can survive being frozen and boiled.,Nothing
The population of the Earth drinks about the same amount of water every day as the volume of Lake Erie.,Nothing
"Your tongue has a unique fingerprint, just like your fingerprints on your fingers.",Nothing
The population of the Earth laughs an average of 15 times a day.,Nothing
The population of the Earth blinks about 20 times per minute.,Nothing
"The world's saltiest body of water is the Dead Sea, which is so salty you can float in it easily.",Nothing
There's a species of fish that can walk on land using its fins.,Nothing
The population of the Earth spends about 2.5 hours per day on social media.,Nothing
The world's first commercial flight only lasted for 51 minutes.,Nothing
The population of the Earth throws away about a third of the food it produces.,Nothing
There's a mountain range in Scotland that runs for 55 miles entirely underwater.,Nothing
The population of the Earth uses enough plastic wrap every year to shrink-wrap the entire planet.,Nothing
The world's first webcam was invented to monitor a coffee pot at Cambridge University.,Nothing
The population of the Earth produces enough garbage every year to fill all the garbage trucks in the world lined up bumper-to-bumper around the Earth 24 times.,Nothing
There's a type of potato that can grow into a heart shape.,Nothing
The population of the Earth spends more time watching cat videos online than attending church services.,Nothing
The population of the blue whales on Earth is estimated to be less than 1% of what it was before commercial whaling began.,Nothing
"The world's rainiest place is Mawsynram, India, which receives an average of 467 inches of rain annually.",Nothing
The population of butterflies can taste with their feet!,Nothing
"The world's smallest bird is the hummingbird bee, measuring just 2.5 inches long.",Nothing
The population of Earth uses enough chewing gum every year to pave a sidewalk from New York City to Los Angeles.,Nothing
"The world's first artificial satellite, Sputnik 1, only orbited Earth for 21 days.",Nothing
"The population of narwhals, also known as the unicorns of the sea, have a single long tusk that can grow up to 10 feet. .",Nothing
The world's hottest natural spring reaches temperatures of 199 degrees Fahrenheit (93 degrees Celsius).,Nothing
The population of lightning strikes Earth about 44 times every second.,Nothing
The world's first computer mouse was made of wood.,Nothing
"The population of some species of jellyfish are technically immortal, as they can revert back to a younger stage of life after reaching maturity.",Nothing
The world's first traffic laws were written in ancient Rome in the year 280 BC.,Nothing
"The population of emperor penguins huddle together for warmth in extreme temperatures, forming a giant, rotating ball of penguins.",Nothing
"The world's largest living organism isn't an animal, but a fungus covering over 2,385 acres in Oregon.",Nothing
The population of Earth inhales about the same weight of the Empire State Building in oxygen every single day.,Nothing
"The world's driest desert isn't the Sahara, but the Atacama Desert in Chile, which receives an average of less than 0.04 inches of rain per year.",Nothing
"The population of some species of turtles can breathe through their cloacas, which is the opening where waste leaves the body.",Nothing
"The world's first flush toilet was invented in 1596 by Sir John Harington, a godson of Queen Elizabeth I.",Nothing
The population of Earth throws away roughly one-third of the food it produces every year.,Nothing
The world's first successful heart transplant surgery was performed in 1967 by Dr. Christiaan Barnard in South Africa.,Nothing
"The population of the Earth blinks about 20 times per minute, which adds up to about 10 million blinks per day for the average person.",Nothing
"The world's strongest muscle, relative to its size, is the tongue of a dung beetle.",Nothing
The population of some species of dolphins can call each other by name using unique whistles.,Nothing
"The world's first website went live on August 6, 1991, and it provided information about the World Wide Web project.",Nothing
The population of the Earth produces roughly enough garbage every year to fill all the world's garbage trucks lined up bumper-to-bumper around the equator 24 times.,Nothing
"The world's largest living organism isn't an animal, but a fungus network covering over 2,385 acres in Oregon, estimated to be over 2,000 years old.",Nothing
The population of the planet Venus spins in the opposite direction compared to most other planets in our solar system.,Nothing
"The world's hottest recorded temperature was 134 degrees Fahrenheit (56.7 degrees Celsius) in Death Valley, California in 1913.",Nothing
The population of the Earth has more than doubled since 1950.,Nothing
"The world's first successful cell phone call was made in 1973 by Martin Cooper, an engineer at Motorola.",Nothing
"The population of some species of sharks can detect electrical fields emitted by other living creatures, helping them find prey.",Nothing
